"","SiteYearLine","Site","Year","CanolaLine","Week","SampleID","SiteYear","s2","s","s.std","s.rev","Yield","yield.std","importance1","importance2","importance3"
"156","L.2016.YN04-C1213","L",2016,"YN04-C1213",6,"L.2016.YN04-C1213.06.R","L.2016",45.0569644908262,6.71244847211703,0.835000536652232,804.263483339126,2655.13666666667,0.637053562333494,0.260701010131388,0.323092244644608,0.262567031618989
"157","L.2016.YN04-C1213","L",2016,"YN04-C1213",7,"L.2016.YN04-C1213.07.R","L.2016",45.0569644908262,6.71244847211703,0.835000536652232,804.263483339126,2655.13666666667,0.637053562333494,0.260701010131388,0.323092244644608,0.262567031618989
"158","L.2016.YN04-C1213","L",2016,"YN04-C1213",8,"L.2016.YN04-C1213.08.R","L.2016",45.0569644908262,6.71244847211703,0.835000536652232,804.263483339126,2655.13666666667,0.637053562333494,0.260701010131388,0.323092244644608,0.262567031618989
"159","L.2016.YN04-C1213","L",2016,"YN04-C1213",9,"L.2016.YN04-C1213.09.R","L.2016",45.0569644908262,6.71244847211703,0.835000536652232,804.263483339126,2655.13666666667,0.637053562333494,0.260701010131388,0.323092244644608,0.262567031618989
"160","L.2016.YN04-C1213","L",2016,"YN04-C1213",10,"L.2016.YN04-C1213.10.R","L.2016",45.0569644908262,6.71244847211703,0.835000536652232,804.263483339126,2655.13666666667,0.637053562333494,0.260701010131388,0.323092244644608,0.262567031618989
"161","L.2017.NAM-0","L",2017,"NAM-0",1,"L.2017.NAM-0.01.R","L.2017",45372.3168267625,213.007785836017,0.436752645525071,597.968145975226,2795.30666666667,0.597095992734505,0.153646995627911,0.119991304224802,0.123296897536073
"162","L.2017.NAM-0","L",2017,"NAM-0",2,"L.2017.NAM-0.02.R","L.2017",45372.3168267625,213.007785836017,0.436752645525071,597.968145975226,2795.30666666667,0.597095992734505,0.153646995627911,0.119991304224802,0.123296897536073
"163","L.2017.NAM-0","L",2017,"NAM-0",3,"L.2017.NAM-0.03.R","L.2017",45372.3168267625,213.007785836017,0.436752645525071,597.968145975226,2795.30666666667,0.597095992734505,0.153646995627911,0.119991304224802,0.123296897536073
"164","L.2017.NAM-0","L",2017,"NAM-0",4,"L.2017.NAM-0.04.R","L.2017",45372.3168267625,213.007785836017,0.436752645525071,597.968145975226,2795.30666666667,0.597095992734505,0.153646995627911,0.119991304224802,0.123296897536073
"165","L.2017.NAM-0","L",2017,"NAM-0",5,"L.2017.NAM-0.05.R","L.2017",45372.3168267625,213.007785836017,0.436752645525071,597.968145975226,2795.30666666667,0.597095992734505,0.153646995627911,0.119991304224802,0.123296897536073
"166","L.2017.NAM-0","L",2017,"NAM-0",6,"L.2017.NAM-0.06.R","L.2017",45372.3168267625,213.007785836017,0.436752645525071,597.968145975226,2795.30666666667,0.597095992734505,0.153646995627911,0.119991304224802,0.123296897536073
"167","L.2017.NAM-0","L",2017,"NAM-0",7,"L.2017.NAM-0.07.R","L.2017",45372.3168267625,213.007785836017,0.436752645525071,597.968145975226,2795.30666666667,0.597095992734505,0.153646995627911,0.119991304224802,0.123296897536073
"168","L.2017.NAM-0","L",2017,"NAM-0",8,"L.2017.NAM-0.08.R","L.2017",45372.3168267625,213.007785836017,0.436752645525071,597.968145975226,2795.30666666667,0.597095992734505,0.153646995627911,0.119991304224802,0.123296897536073
